paper_id,title,tldr,abstract,year
13455397,Basins of attraction and equilibrium selection under different learning rules,"In symmetric two-by-two games, basins of attraction are invariant to a wide range of learning rules. The existence of parasitic or misleading actions allows subtle differences in the learning rules to accumulate.","A deterministic learning model applied to a game with multiple equilibria produces distinct basins of attraction for those equilibria. In symmetric two-by-two games, basins of attraction are invariant to a wide range of learning rules including best response dynamics, replicator dynamics, and fictitious play. In this paper, we construct a class of three-by-three symmetric games for which the overlap in the basins of attraction under best response learning and replicator dynamics is arbitrarily small. We then derive necessary and sufficient conditions on payoffs for these two learning rules to create basins of attraction with vanishing overlap. The necessary condition requires that with probability one the initial best response is not an equilibrium to the game. The existence of parasitic or misleading actions allows subtle differences in the learning rules to accumulate.",2009.0
13457810,Discrete-Event Simulation (DES) of uncertainty-based time-cost trade-off analysis,"Critical Path Method (CPM) is widely used in construction engineering scheduling. In reality, the duration of each activity is uncertain with a distribution, instead of a constant number. The cost of each activity may vary when the duration of the activity changes, generating different Net Present Value.","Critical Path Method (CPM) is widely used in construction engineering scheduling. Through calculating Early Start (ES), Early Finish (EF), Late Start (LS), and Late Finish (LF), the duration of a project can be obtained, and critical path can be found. However, in reality, the duration of each activity is uncertain with a distribution, instead of a constant number. Meanwhile, the cost of each activity may vary when the duration of the activity changes, generating different Net Present Value (NPV). In this paper, a Discrete-Event Simulation (DES) methodology is introduced to deal with the uncertainty-based time-cost trade-off (TCT) analysis in construction scheduling problem. An example is stated to verify the proposed methodology.",2010.0
214765293,Creating a geodemographic classification model within geo-marketing: the case of Eskişehir province,This study performed a geo-demographic segmentation of the urban neighbourhoods of Eskiehir province and sought to determine the characteristics of the people living in these neighbourhoods at the household level. Groups created using the SPSS package program and Principal Components Analysis (PCA) and Hierarchical Clustering Analysis were then mapped on the GIS platform as urban neighbourhoods.,"Abstract Businesses today face great competition in their operations, making it necessary for them to adopt a “customer-oriented” approach. In this competitive environment, where customers are more valuable, enterprises accrue great advantages from an understanding of the characteristics of the target audience in all dimensions. This is where the importance of geo-marketing and demographic segmentation for enterprises emerges. This study performed a geo-demographic segmentation of the urban neighbourhoods of Eskişehir province and sought to determine the characteristics of the people living in these neighbourhoods at the household level. The Groups created using the SPSS package program as well as Principal Components Analysis (PCA) and Hierarchical Clustering Analysis were then mapped on the GIS platform as urban neighbourhoods.",2020.0
151210732,"ANALISIS PENGARUH TINGKAT SUKU BUNGA, CAR, NPLDAN LDR TERHADAP PENYALURAN KREDIT UMKM(Studi pada Bank Umum Swasta Nasional Periode 2003-2010)",The study is motivated by the phenomenon of bank lending has ::: not been optimal. This is indicated by the Loan to Deposit Ratio (LDR) which is below the expectations of Bank Indonesia.,"Bank is a financial institution that serves as financial intermediary. Bank ::: accept deposits of money from the public and subsequently channeled back in the ::: form of credit. Allow for investment lending, distribution, and consumption of ::: goods andservices, considering all these activities are always associated with the ::: use of money.This research is motivated by the phenomenon of bank lending has ::: not been optimal.This is indicated by the Loan to Deposit Ratio (LDR) which is ::: below the expectations of Bank Indonesia. Therefore need to be tested factorfactors ::: that influence the policy lending banks, including Capital Adequacy Ratio ::: (CAR), Non Performing Loan (NPL), Loan Deposit Ratio (LDR) and interest ::: rates. This study used Banks as a whole as a unit object of research, there search ::: period from year 2003-2010 (monthly). The analysis technique used is multiple ::: linear regression, while the hypothesis test using t test to test the partial effect of ::: variables and F test to test the simultaneous influence of variables with a ::: significance level of 5%. ::: From the results of the the test to this research seeimultaneously is ::: known that interest rate, CAR, NPL and LDR using F test significantly affected. ::: Being of the partial result using t test that the value of the CAR, NPL and interest ::: rate variables influence towards SME’s lending with negative and significant ::: result with significant level of 0,000; 0,000; and 0,035. While LDR variable is ::: unsignificant result towards SME’s lending",2011.0
151210879,Solar energy and public utility rate regulation,It is suggested that solar energy users must be able to resort to the public utilities as a backup source of energy when their solar systems do not provide for all their energy needs. It is suggested that solar energy users must be able to resort to the public utilities as a backup source of energy when their solar systems do not provide for all their energy needs.,"It is suggested that solar energy users must be able to resort to the public utilities as a backup source of energy when their solar systems do not provide for all their energy needs. An introduction to the regulatory process is given. Part I of the article is divided into three sections: (1) nature of demand costs and influence of solar backup service; (2) how the total costs (customer costs, energy costs, demand costs) are allocated to various customer classes; and (3) how allocated costs (particular demand costs) are built into the utility rate structures used to calculate the charge to each customer. Together (2) and (3) demonstrate that the potentially high cost of solar backup service is a function of both demand costs and cost allocation. Part II provides arguments that conversion to solar power can proceed without threatening existing utilities. Time of use rates (significantly higher rates for on-peak than for off-peak service) would be the most understandable and acceptable to the public and provide an economic incentive for greater use of solar energy. 105 references. (MJJ)",1979.0
151213264,OUTLOOK ON EUROPE: THE SPATIAL VARIABLE IN THE RECENT CONFIGURATION OF THE VALUE CHAIN IN THE EUROPEAN AUTOMOTIVE INDUSTRY,This paper takes the framework of the 'economics of proximity' to distinguish between territory-based and agent-based proximity approaches. The paper sets out to determine which of these approaches works best to explain the main changes carried out in the most recent configuration of value chain in the European automotive industry.,This paper takes the framework of the 'economics of proximity' to distinguish between territory-based and agent-based proximity approaches in dealing with the dynamic interaction between changes in the organisation of production on the one hand and the role of territory on the other. The paper sets out to determine which of these approaches works best to explain the main changes carried out in the most recent configuration of value chain in the European automotive industry. Copyright (c) 2010 by the Royal Dutch Geographical Society KNAG.,2010.0
151214591,"Market failures, transaction costs and article 101(1) TFEU case law",This article gives a unifying picture of art. 101(1) TFEU judgments based on familiar economic concepts. It is submitted that a formalisatiion of case law based on these concepts has greater explanatory power than the prevailing approaches currently found in textbooks and policy instruments.,"EU competition law is increasingly informed by economic analysis. However, the tools of this discipline are rarely ever used systematically for positive purposes. This article gives a unifying picture of art. 101(1) TFEU judgments based on familiar economic concepts (market failures and transaction costs). It is submitted that a formalisatiion of case law based on these concepts has greater explanatory power than the prevailing approaches currently found in textbooks and policy instruments. The article shows, first, that the availability of an efficeincy explantion for an agreement is the default starting point followed by EU courts when drawing the line between restrictions of competition by object and by effect. Secondly, it explores how market failures and transaction costs influence the analysis of restrictive effects on competition under art. 101(1) TFEU. These insights are equally userful to define the scope of art. 101(3) TFEU and the relevance of non-economic considerations.",2012.0
151215678,Empirical Examination of debt and growth nexus in South Asian countries,"South Asian countries have been facing a twin deficit and need to rely on public external and domestic debt to finance their developmental activities. The consequences of public debt for economic growth and investment are examined for Bangladesh, India, Pakistan and Sri Lanka. The results suggest reliance on debt for development purposes is not a safe option.","Over the years, South Asian countries have been facing the problem of a twin deficit and the need to rely on public external and domestic debt to finance their developmental activities. The positive impact of public debt relates to the fact that in resource-starved economies debt financing, if done properly, leads to higher growth and adds to the borrower’s capacity to service and repay external and internal debt. The negative effect works through two main channels, namely “debt overhang” and “crowding out”. In the present study, the consequences of public debt for economic growth and investment are examined for the four countries in South Asia, namely Bangladesh, India, Pakistan and Sri Lanka, for the period 1975-2011. To conduct the study, a hybrid model that explicitly incorporates the role of public debt in growth equations was developed. The standard panel data estimation techniques have been used. The results show that both public external debt and debt servicing negatively affect economic growth and investment, which points to the existence of the “debt overhang effect” and the “crowding out effect”. Similarly, domestic debt also exhibits a negative and significant relationship with economic growth and investment. The results suggest that reliance on debt for development purposes is not a safe option and countries need to extend the efforts to increase the revenue to finance the development expenditure.",2014.0
151217468,Global: What is Wrong with Global Inequality in Higher Education?,The term 'world-class' denotes intrinsic achievement. But it also implies rank order and attendant inequalities.,Virtually all the discussion of collective good associated with the debate about the increase in university tuition fees in England has been framed by national concerns to ensure Britain’s universities remain ‘world-class’. The term ‘world-class’ denotes intrinsic achievement. But it also implies rank order and attendant inequalities. What forms does global inequality in higher education take and what’s wrong with it?,2017.0
151218162,Is audit quality impacted by auditor relationships,"Using the setting of when Australian firms were adopting the International Financial Reporting Standards (IFRS) we find evidence of a negative association between the length of tenure between the lead audit partner and client firm management. Conversely, we find a positive relation between audit firm engagement by the client (firm-to-firm) and audit quality. This suggests there may be quality benefits from prescribing audit partner rotation, and quality costs from prescribing audit firm rotation.","The objective of this study is to provide empirical evidence on the association of audit quality with audit tenure which would support the argument for auditor rotation being prescribed by regulation. Auditor tenure is measured having regard to both the duration of relations between the lead audit partner and client firm management (person-to-person relations), as well as the duration of the audit firm's engagement by the client (firm-to-firm). Using the setting of when Australian firms were adopting the International Financial Reporting Standards (IFRS), we examine 266 publicly listed Australian firms and find evidence of a negative association between the length of tenure between the lead audit partner and client firm management (person-to-person relations) and audit quality. Conversely we find a positive relation between audit firm engagement by the client (firm-to-firm) and audit quality. This suggests there may be quality benefits from prescribing audit partner rotation, and quality costs from prescribing audit firm rotation.",2015.0
151218434,"Indirect Regulation, Antitrust Immunity and Public Undertakings in Brazil",Section 31 of Brazil's new antitrust law (BNAL) keeps the Brazilian tradition of extending antitrust scrutiny over any legal entity. In this paper I discuss how PUs may be and have been used to indirectly regulate sectors in Brazil.,"Section 31 of Brazil’s new antitrust law (Law 12,529/2011 – BNAL) keeps the Brazilian tradition of extending antitrust scrutiny over any legal entity, including public undertakings (PUs). In this paper I discuss how PUs may be and have been used to indirectly regulate sectors in Brazil, how they complement the work of industry-specific regulatory agencies and how have they been receiving informal antitrust immunity from the Brazilian antitrust agency (Cade).",2013.0
47012393,Learning and Risk Premiums in an Arbitrage-Free Term Structure Model,We study the evolution of risk premiums on US Treasury bonds from the perspective of a real-time learner. Learning about the historical dynamics of yields led to substantial variation in RA's subjective risk premiums.,"We study the evolution of risk premiums on US Treasury bonds from the perspective of a real-time Bayesian learner RA who updates her beliefs using a dynamic term structure model. Learning about the historical dynamics of yields led to substantial variation in RA's subjective risk premiums. Moreover, she gained substantial forecasting power by conditioning her learning on measures of disagreement among professional forecasters about future yields. This gain was distinct from the (much weaker) forecasting power of macroeconomic information. RA's views about the pricing distribution of yields remained nearly constant over time. Her learning rule outperformed consensus forecasts of market professionals, particularly following U.S. recessions.",2018.0
17716484,Risk Evaluation of Early Termination for Pest Control in Cotton,"The exponential utility approach to efficiency is used to evaluate pest control technologies for cotton under normal, gamma, and beta distributed crop yields. Early termination of cotton is more profitable than current practice but may not be preferred if risk aversion characterizes grower behavior.","The exponential utility, moment-generating function approach to stochastic efficiency is used to evaluate pest control technologies for cotton under normal, gamma, and beta distributed crop yields. Results suggest that early termination of cotton is more profitable than current practice but may not be preferred if risk aversion characterizes grower behavior. Research directions and policy implications are indicated.",1984.0
182456242,Como as Micro e Pequenas Empresas tratam os seus Resíduos Sólidos Frente à Lei Federal N° 12.305/10,"The aim is to investigate the influence of Federal Law No. 12,305/10 on the management of solid waste from micro and small enterprises in the Guarulhos region. The study used a descriptive and exploratory survey and qualitative data analysis.","Objective: The objective of this research is to investigate the influence of Federal Law No. 12,305/10 on the management of solid waste from micro and small enterprises in the Guarulhos region. Methodology: In examining the effects of this law, the study used a descriptive and exploratory survey and qualitative data analysis. The sample consisted of forty-eight small businesses in various fields of activity in the region of Guarulhos/SP Relevance: This goal is relevant, considering this statute established a national policy for solid waste, imposing regulations for its sorting and disposal. This regulation requires companies to dispose of their solid waste at predetermined locations. Results: By aggregating the percentages found, we prepared an index of adherence to the legislation on solid waste management. Contributions: The contribution of the research is based on the information of the previous studies and on the direction for solid waste management in the micro and small enterprises of the region, supporting local sustainability. Conclusion: The aspect of the legislation, in which micro and small business in the region of Guarulhos has demonstrated a degree of suitability that is linked to lack of knowledge required by the law of solid waste.",2019.0
152570330,Aggregation of Discount Rates: an Equilibrium Approach,We propose an 'equilibrium approach' and analyse the expression and the properties of the resulting 'equilibrium discount rate' We apply the approach to Weitzman (2001)'s data to propose discount rates for public sector Cost-Benefit Analysis.,"We address the problem of a social planner who, as in Weitzman (2001), gathers data on experts' discount rates and wants to infer the socially efficient consumption discount rate. We propose an 'equilibrium approach' and we analyse the expression and the properties of the resulting 'equilibrium discount rate'. We compare our expression for the discount rate with the different expressions that have been previously proposed in the literature. We analyse the impact of shifts in the distributions of experts discount rates. Finally, we apply our approach to Weitzman (2001)'s data to propose discount rates for public sector Cost-Benefit Analysis, in particular for the long term.",2008.0
152570646,Role of IT in Banking Sector,Initiation of Information Technology and Communications networking system is set to change the operating environment of banks drastically. Banks that can adopt and absorb the new technology faster will have a competitive edge over rivals.,"Abstract: Initiation of Information Technology and Communications networking system is set to change the operating environment of banks drastically. Technology has already enabled some of the banks to introduce innovative products to their customers in the form of ATM facility, Telebanking, Home Banking, 'Anytime' and 'Anywhere' banking, etc. Technology can also be harnessed in automating and networking the branches that will ensure timely flow of information and aid decision making process .The banks that can adopt and absorb the new technology faster will have a competitive edge over their rivals. The changes brought about by IT (Information Technology), new products, more sophisticated customers, changing cost structures, and enhanced competitive pressures have all combined to transform the structure of the banking industry. And with further development of new technologies, the industry will likely continue to evolve. Customers of banks have felt the positive impact of technological solutions implemented by banks. The customers of banks of today have a virtual menu of options as far as delivery channels are concerned and all these are the benefits of technology. With the most visible benefits happening in the areas of payments for retail transactions, a variety of cards, Automated Teller Machines, Electronic based funds transfers, Internet banking, Mobile banking are all some of the latest technology based payment solutions, which have gained large acceptance amongst the Indian banking public. With technological solutions rapidly evolving, more new products and services may soon become the order of the day. Though infrastructure and communication advancements remain an area of concern, in the rural areas, standards are being formulated to make banking a secure and pleasant experience and banks have bridged the divide caused by distances by offering ‘Anywhere and Anytime banking’.",2012.0
152571533,Mis-used techniques in planning: The forecasts of Roskill,Roskill Commission produced forecasts of passengers using airports in the London system. Key criticism is that a wrong measure of accessibility has been used.,"Parry Lewis J. (1971) Mis-used techniques in planning: The forecasts of Roskill. British leisure passenger's: The Commission's Method, Reg. Studies 5, 145–155. The Roskill Commission produced forecasts of passengers using airports in the London system. This paper describes and criticises the method of forecasting. Some of the criticisms relate to fairly common mis-use of regression methods in geographical and forecasting studies. A key criticism is that a wrong measure of accessibility has been used. It is also argued that combining a cost-benefit analysis with a gravity model raises difficult problems of interpretation.",1971.0
152571733,Corporate Governance and its Effect on Firm Value and Stock Returns of Listed Companies on the Athens Stock Exchange,We construct an Index of Corporate Governance (CGQL) measuring the quality implementation of the enlisted firms on the Athens Stock Exchange. An investment strategy that buys Democracies and shorts Dictatorships earns abnormal returns of around 18% annually during the sample period. The conclusions call into question the utility of Corporate Governance upon firm attractiveness.,"Recent researches have worked on the relationship between Corporate Governance and expected rates on return as well as historical returns. Firstly, we construct an Index of Corporate Governance (CGQL) that measures the quality implementation of Corporate Governance of the enlisted firms on the Athens Stock Exchange distinguishing the firms into Democracies and Dictatorships. An investment strategy that buys Democracies and shorts Dictatorships earns abnormal returns of around 18% annually during the sample period. In this paper we investigate if Corporate Governance matters in investorsâ€™ decisions. We try to observe if Corporate Governance is a proxy for firm valuation, a factor of creating and altering abnormal returns, or a risk factor, which can be a â€œsubstituteâ€ for market risk (beta), using uni- and multi-variate analyses. The conclusions call into question the utility of Corporate Governance upon firm attractiveness.",2014.0
152572925,A Study on Valuing of Biodiversity,"The preservation of biodiversity is one of the most important matters in environmental economics. But, in general, the relevant trade-offs associated with the preservation option are not well known. The study tries to find the confidence interval for the value of willingness to pay for lump sum tax paid by society to take the preservation program for some endangered species.","The preservation of biodiversity is one of the most important matters in environmental economics. But, in general, the relevant trade-offs associated with the preservation option are not well known. The absence of a framework capable of relating theoretical and operational aspects is a restriction for understanding the subject of biodiversity. If we cannot measure it, there is no way to take rational actions to get preservation because each one (preservation and non preservation) brings expected gains and current losses of welfare for the society. The aim of this paper is to present a methodology that gives a value to the price for the preservation of biodiversity, by the adaptation of the approach developed by Montgomery et alii (1999). Summing up, this study tries to find the confidence interval for the value of willingness to pay for lump sum tax paid by society to take the preservation program for some endangered species. The viability or probability that the species remain alive in the future, the degree of genetic diversity and the use value are the elements, among others, involved in this process.",2002.0
152573115,On Optimal Utilization of Labor and Capital Stocks in the Neoclassical Theory of the Firm,"This article considers optimal utilization rates for stocks of inputs and relevant prices of inputs in the neoclassical theory of the firm. A new feature introduced in this paper is that the cost minimization model is formulated symmetrically with respect to labor and capital stocks, utilization rates and corresponding costs.","This article considers optimal utilization rates for stocks of inputs and relevant prices of inputs in the neoclassical theory of the firm. A new feature introduced in this paper is that the cost minimization model is formulated symmetrically with respect to labor and capital stocks, utilization rates and corresponding costs. In the first model we generalize a model originally formulated by Nadiri and Rosen (1969 and 1974), who use a Cobb-Douglas production function and constant elasticity input price functions. In the second model results similar to those obtained by Nadiri and Rosen are derived on the basis of weaker assumptions. New expressions for the stock price variables are also worked out.",1977.0
152573350,THE OIL CRISIS: THIS TIME THE WOLF IS HERE,"U.S. could remain essentially self-sufficient in oil, as late as 1970, it was believed that the U.S. could remain essentially self-sufficient in oil. In the long run, the only satisfactory position for the U.S. must be alternative sources of energy.","It was a popular belief in the 1960s that the supply of oil was abundant. As late as 1970, it was believed that the U.S. could remain essentially self-sufficient in oil. Recognizing the dangers of dependence on oil from the Eastern Hemisphere, a Presidential Task Force recommended that imports from the Eastern Hemisphere be limited to 10% of total U.S. oil consumption, a level expected to be reached in the mid-1980s. These projections were spectacularly wrong. Imports from the Eastern Hemisphere amounted to 15% of consumption in 1972, and are expected to rise to 20% in 1973. The source of these errors were: (1) overestimates of domestic capacity, and (2) the decline of natural gas supplies and its impact on oil demand. Most of the world's proven oil reserves are in Arab hands. We must recognize that previous political threats on restriction of oil have been directed against the U.S. alone, not against our allies. By 1980, we will be even more dependent on oil from the Middle East. The present price agreements are defined only thorugh 1975. Production is leveling off in the Middle East. The only alternative to shortfall before 1980 will be Saudi Arabia, and its projected production seems improbably high. The U.S. has discussed a two-pronged approach to consumer cooperation: (1) development of new forms of energy, and (2) an international authority to avoid cutthroat competition in times of shortage. In the long run, the only satisfactory position for the U.S. must be alternative sources of energy. Effective mass-transit systems could do much to limit our present profligate use of energy in the form of oil.",1973.0
152574397,From sacred cow to cash cow: The shifting political ecologies of protected areas in Russia,"In post-Soviet times, the fortunes of protected areas have undergone swift change. In post-Soviet times, the fortunes of protected areas have undergone swift change. It concludes that the impetus of introducing market principles into conservation is in danger of going off course in Russia.","How have political and economic processes in Russia impacted protected areas? When first conceived in 1916, protected areas in Russia were considered as sancta of nature. In post-Soviet times, however, the fortunes of protected areas have undergone swift change: from a period of liberalisation and a conservation bonanza in the 1990s to increasing exploitation in the 2000s and commodification in the 2010s. Against the historical background of the Soviet period, this contribution traces reserves’ trajectory from sacred cows to cash cows. It concludes that the neoliberal impetus of introducing market principles into conservation is in danger of going off course in Russia: instead of making the market work for conservation, it makes conservation work for the market.",2014.0
152574955,Determination of Optimal Mean Value and Screening Limit for a Production Process with Logistic Function,"The optimal process mean and lower screening limit are determined in situations where the probability that an item functions well is given by a logistic function of the quality characteristic. Profit models are constructed which involve four price/cost components; selling prices, cost from accepted nonconforming item, reprocessing and inspection costs.","Individual items are produced continuously from an industrial process. Each item is checked to determine whether it satisfies a lower screening limit for the quality characteristic which is the weight of an expensive ingredient. If it does, it is sold at a regular price; if it does not, it is reprocessed or sold at a reduced price. The process mean may be adjusted to a higher value in order to reduce the proportion of the nonconforming items. Using a higher process mean, however, may result in a higher production cost. In this paper, the optimal process mean and lower screening limit are determined in situations where the probability that an item functions well is given by a logistic function of the quality characteristic. Profit models are constructed which involve four price/cost components; selling prices, cost from an accepted nonconforming item, and reprocessing and inspection costs. Methods of finding the optimal process mean and lower screening limit are presented and numerical examples are given.",2003.0
152575304,"Beyond Depoliticization? Caste, NGOs and Dalit Land Rights in Maharashtra, India","In India, Dalit mobilization for land rights and the cultivation of gaairan has attracted international civil society actors who participate in such mobilization through local non-governmental organizations. It cautions against exaggerating the role of international civil society actors in local democratization processes.","In India, Dalit mobilization for land rights and the cultivation of gaairan (grazing lands) in the last decade has attracted the attention of international civil society actors who participate in such mobilization through local non-governmental organizations (NGOs). This article contextualizes the debate on the growth and role of NGOs by presenting the politics of formation and working of a funding-driven network of NGOs on Dalit rights and livelihoods in India. It cautions against exaggerating the role of international civil society actors in local democratization processes, and also argues that the feared depoliticizing of public interests as a result of INGO involvement is misplaced in the case of Dalit politics.",2012.0
152575385,The Private Bond Case as a Postponement of the Real Issue,"The case of Norman v. Baltimore & Ohio R.R. is found to contain many important implications which have passed unnoticed. In particular, the ""necessary and proper"" clause and the Fifth Amendment as a substantive check thereon will inevitably become a portentous struggle.","The discussion which immediately follows a significant Supreme Court ruling often emphasizes its political and economic effects; and if any respectable chain of reasoning can be found to serve the purpose, a decision expedient from an economic angle becomes ""correct"" from a legal point of view. Moreover, it is widely recognized that in the field of Constitutional Law the Court may escape the past without restricting the future by somewhat forced construction and a ""proper"" selection from among competing analogies. The existence of this process and the desire of the critic to approve a practically desirable result combine to minimize the importance of a single decision as a source of Constitutional Law. Yet in the long run the true significance of the case may prove to be that it furnishes points of reference on which the Court, if it chooses, may later rely. Viewed in this latter sense, as a precedent for the future rather than a result socially desirable for the present, the case of Norman v. Baltimore & Ohio R. R.' is found to contain many important implications which have passed unnoticed. In particular, if, as seems altogether likely, the process of extending federal powers continues, the ""necessary and proper"" clause and the Fifth Amendment as a substantive check thereon will inevitably become the focal points of a portentous struggle. An attempt will be made in the following pages to subject the Norman case to careful analysis with a special view to these implications. The plaintiff's bond in this case provided that payment of principal and interest would be made in gold coin of the standard of weight and fineness existing when the bond was issued. A joint resolution of Congress declared invalid all contract provisions, past or future, which purported ""to give the obligee a right to require payment in gold or a particular kind of coin or currency, or in an amount in money of the United States measured thereby. . . 2 The first section of Mr. Chief Justice Hughes' opinion deals with the interpretation of the clause in the bond. With the issues involved in this matter we are not here concerned. Suffice it to say that, while discarding the theory that the contracts were for gold as a commodity, or bullion, the Chief Justice also denied by implication the contrary contention that they were for gold coin and nothing else. They were, he concluded, ""gold value"" contracts,",1935.0
152575432,The Impact of Index and Swap Funds on Commodity Futures Markets PRELIMINARY RESULTS,Using Granger causality methods the study finds no significant relationship between changes in index and swap fund positions and increased market volatility. The evidence is strongest for agricultural futures markets because the data on index trader positions are measured with reasonable accuracy.,This preliminary study examines the impact of index and swap fund participation in agricultural and energy commodity futures markets. Based on new data and empirical analysis the study finds that index funds did not cause a bubble in agricultural futures prices. Using Granger causality methods the study finds no statistically significant relationship between changes in index and swap fund positions and increased market volatility. The evidence is strongest for agricultural futures markets because the data on index trader positions are measured with reasonable accuracy. The evidence is not as strong in the two energy markets examined here because of considerable uncertainty about the degree to which the available data actually reflect index trader positions in these markets.,2010.0
152575933,Trade Equations for the Brazilian Economy: 1955/1995,This paper estimates export and import equations for Brazil using annual data from 1955 to 1995. The paper also presents forecasts of export and import growth rates for the period 1996-2000.,"This paper estimates export and import equations for Brazil using annual data from 1955 to 1995. The econometric procedures account for the nonstationarity of the data, applying cointegration techniques and using an error-correction model framework. The validity of treating conditioning variables as ""exogenous"" is investigated through proper exogeneity tests. The paper also presents forecasts of export and import growth rates for the period 1996/2000, under alternative scenarios.",1998.0
152576314,Estimation of household demand for goods and services in California's dynamic revenue analysis model,Department of Agriculture and ECONOMICS at University of California.,"DEPARTMENT OF AGRICULTURAL AND RESOURCE ECONOMICS AND POLIC~j DIVISION OF AGRICULTURE AND NATURAL RESOURCES UNIVERSITY OF CALIFORNIA AT BERKELEY. WORKING PAPER NO. 923 ESTIMATION OF HOUSEHOLD DEMAND FOR GOODS AND SERVICES IN CALIFORNIA'S DYNAMIC REVENUE ANALYSIS MODEL by Peter Berek, Peter Hess and Bruce Smith California Agricultural Experiment Station Giannini Foundation of Agricultural Economics September 1997",1997.0
152577022,Energy and economic growth in Sweden : an analysis of historical trends and present choices,The post-war development of Sweden’s energy consumption is described in Chapter 2.,From chapter 1: ::: The plan of the study is as follows. The post-war development of Sweden’s energy consumption is described and analyzed in Chapter 2. The discussion is focused on the relation betwee ...,1977.0
